Subject Code,Subject Name
4COM2002,Introduction to Programming and Discrete Structures
4COM2004,Data Modeling for Database
4COM2006,Team Software Project
MPU3193,Philosophy and Current Issues (L&I)
MPU3183,Penghayatan Etika dan Peradahan (L)
MPU3143,Bahasa Melayu Komunikasi (I)
MPU2005,Computational Problem Solving
4COM2003,From Silicon to C
5COM2007,Principles and Practics of Large Scale Programming 
5COM2002,Accessibility and Usability
5COM2005,Database Systems
MPU3223,Effective Listeninig 
MPU3213,Bahasa Kebangsaan A
MPU3373,Integrity and Anti-Corruption
5BUS2254,Technopreneurship
MPU3432,Co-Curriculum Sustainability Thinking
5COM1054,Algorithm and Data Structutres
5COM2003,Artificial Intellegence
5COM2004,Computing Things
5COM1055,Operating Systems and Networks
6COM2019,Cyber Security and Networks Projects(Part 1)
6COM2013,Software Architecture
6COM1040,Cyber Security and Networks Projects(Part 1)
6COM2006,Incident Response Digital Foresics
6COM3601,Industrial Traning 
6COM2019,Cyber Security and Networks Projects(Part 1)
6COM2010,Responsible Computing 
6COM1039,Network Protocols and Architectures
6COM1050,Information Security Management
6COM2011,Robotics
