subject_code,subject_name
BIT1113,Introduction to Information Technology
BIT1123,Programming Fundamentals
BIT1133,Database Fundamentals
BIT1143,Computer Networks
BIT1213,Web Development
BIT1223,Data Structures and Algorithms
BIT1233,Software Engineering Principles
BIT1243,System Analysis and Design
BIT1313,Operating Systems
BIT1323,Mobile Application Development
BIT1333,Human Computer Interaction
BIT1343,Project Management
BIT2113,Advanced Programming
BIT2123,Database Administration
BIT2133,Network Security
BIT2143,Cloud Computing
BIT2213,Artificial Intelligence
BIT2223,Machine Learning
BIT2233,Data Analytics
BIT2243,Software Testing
BIT2313,Enterprise Systems
BIT2323,IT Governance
BIT2333,Research Methods
BIT2343,Capstone Project
BIT3116,Industrial Training
MPU2183,Penghayatan Etika dan Peradaban
MPU2133,Bahasa Melayu Komunikasi 1
MPU2243,Growth Mindset
MPU2213,Bahasa Kebangsaan A
MPU2432,Co-curriculum: Sustainability Thinking
MPU2373,Integrity and Anti-Corruption
