subject_code,subject_name
CIT1113,Introduction to Information Technology
CIT1123,Statistics and Probability
CIT1124,Programming Fundamentals
CIT1133,Database Fundamentals
CIT1143,Data Communication and Networking
MPU2183,Penghayatan Etika dan Peradaban
MPU2133,Bahasa Melayu Komunikasi 1
CIT1213,Internet of Things
CIT1223,Calculus and Algebra
CIT1233,System Analysis and Design Fundamentals
CIT1244,Web and Mobile Systems
CIT1253,Computer Organization
CIT1263,Discrete Mathematics
MPU2243,Growth Mindset
MPU2213,Bahasa Kebangsaan A
CIT1313,Operating Systems
CIT1324,Cloud Computing
CIT1334,Object-Oriented Development
CIT1344,Advanced Networking
CIT1353,Human Computer Interaction
MPU2432,Co-curriculum: Sustainability Thinking
CIT2113,Computer Architecture
CIT2124,System Paradigms
CIT2133,Python Programming
CIT2144,User Experience Design
CIT2153,Database Application Development
MPU2373,Integrity and Anti-Corruption
CIT2213,Project Management
CIT2214,Discrete Mathematics
CIT2234,Cybersecurity Fundamentals
CIT2243,Ethics in Computing
CIT2253,Computer Graphics
CIT2263,Software Engineering Principles
CIT2273,Data Science Fundamentals
CIT2283,Artificial Intelligence Fundamentals
CIT2293,Machine Learning
CIT2354,Integrated Systems Project
CIT3116,Industrial Attachment
