subject_code,subject_name
DCS1113,Introduction to Computer Science
DCS1123,Programming Fundamentals
DCS1133,Discrete Mathematics
DCS1143,Computer Organization
DCS1213,Data Structures
DCS1223,Algorithm Analysis
DCS1233,Database Systems
DCS1243,Software Engineering
DCS1313,Operating Systems
DCS1323,Computer Networks
DCS1333,Web Technologies
DCS1343,Object-Oriented Programming
DCS2113,Advanced Data Structures
DCS2123,Computer Graphics
DCS2133,Artificial Intelligence
DCS2143,Machine Learning
DCS2213,Distributed Systems
DCS2223,Cybersecurity
DCS2233,Mobile Computing
DCS2243,Software Project Management
DCS2313,System Design
DCS2323,Database Administration
DCS2333,Network Administration
DCS2343,Final Year Project
DCS3116,Industrial Attachment
MPU2183,Penghayatan Etika dan Peradaban
MPU2133,Bahasa Melayu Komunikasi 1
MPU2243,Growth Mindset
MPU2213,Bahasa Kebangsaan A
MPU2432,Co-curriculum: Sustainability Thinking
MPU2373,Integrity and Anti-Corruption
