subject_code,subject_name
DIT1123,Statistics and Probability
DIT1124,Programming Fundamentals
DIT1133,Database Fundamentals
DIT1143,Data Communication and Networking
MPU2183,Penghayatan Etika dan Peradaban
MPU2133,Bahasa Melayu Komunikasi 1
DIT1213,Internet of Things
DIT1223,Calculus and Algebra
DIT1233,System Analysis and Design Fundamentals
DIT1244,Web and Mobile Systems
MPU2243,Growth Mindset
MPU2213,Bahasa Kebangsaan A
DIT1313,Operating Systems
DIT1324,Cloud Computing
DIT1334,Object-Oriented Development
DIT1344,Advanced Networking
MPU2432,Co-curriculum: Sustainability Thinking
DIT2113,Computer Architecture
DIT2124,System Paradigms
DIT2133,Python Programming
DIT2144,User Experience Design
MPU2373,Integrity and Anti-Corruption
DIT2213,Project Management
DIT2214,Discrete Mathematics
DIT2234,Cybersecurity Fundamentals
DIT2243,Ethics in Computing
DIT2354,Integrated Systems Project
DIT3116,Industrial Attachment
