subject_code,subject_name
FIIT1114,Basic Mathematics
FIIT1124,Fundamentals of Information Technology
FIIT1133,English Communication
FIIT1143,Personal and Professional Development
FIIT1154,Programming Methodology
FIIT1213,Computer Fundamentals
FIIT1223,Introduction to Programming
FIIT1233,Study Skills and Academic Writing
FIIT1243,Digital Literacy
FIIT1253,Basic Statistics
MPU2183,Penghayatan Etika dan Peradaban
MPU2133,Bahasa Melayu Komunikasi 1
MPU2243,Growth Mindset
MPU2213,Bahasa Kebangsaan A
MPU2432,Co-curriculum: Sustainability Thinking
