subject_code,subject_name
4COM2002,Introduction to Programming and Discrete Structures
4COM2004,Data Modelling for Databases
4COM2006,Team Software Project
MPU3193,Philosophy and Current Issues (L&I)
MPU3183,Penghayatan Etika dan Peradaban (L)
MPU3143,Bahasa Melayu Komunikasi 2 (I)
4COM2005,Computational Problem Solving
4COM2003,From Silicon to C
5COM2007,Principles and Practices of Large Scale Programming
5COM2002,Accessibility and Usability
5COM2005,Database Systems
MPU3223,Effective Listening
MPU3213,Bahasa Kebangsaan A
MPU3373,Integrity and Anti-Corruption
5BUS2254,Technopreneurship
MPU3432,Co-Curriculum Sustainability Thinking
5COM1054,Algorithms and Data Structures
5COM2003,Artificial Intelligence
5COM2004,Computing Things
5COM1055,Operating Systems and Networks
6COM2019,Cyber Security and Networks Projects (Part 1)
6COM2013,Software Architecture
6COM1040,Cyber Security
6COM2006,Incident Response Digital Forensics
6COM3601,Industrial Training
6COM2019B,Cyber Security and Networks Projects (Part 2)
6COM2010,Responsible Computing
6COM1039,Network Protocols and Architectures
6COM1050,Information Security Management
6COM2011,Robotics
